S 8591 8747
V 281397933 [4422.21779999882 4992.857699999586]
V 281397935 [4367.79449999705 5158.125600000843]
V 1348567098 [-3288.5193000026047 1377.0548999998719]
V 281397937 [4219.853699997067 5247.003299999982]
V 950663417 [5388.206399999559 3528.0018000006676]
V 281397936 [4312.161299996078 5197.8081000018865]
V 950663419 [5391.45870000124 4343.207999998704]
V 281397940 [4020.131400000304 5508.774599999189]
V 281397943 [3904.0032000020146 5628.94319999963]
V 281397942 [3966.018899999559 5570.590500000864]
V 1104926754 [11623.520399998873 -1335.3521999996156]
V 281397944 [3864.5870999991894 5664.307799998671]
V 281397947 [3766.574099998921 5727.966299999505]
V 281397946 [3835.394099999219 5687.46239999868]
V 281397949 [3591.0497999973595 5796.1425000000745]
V 1348615358 [-3733.462800003588 1039.814699999988]
V 281397948 [3684.622800000012 5758.746600000188]
V 1348567092 [-4125.403799999505 3642.4982999991626]
V 1346080976 [9783.79529999569 -556.9980000015348]
V 281397890 [4334.66099999845 6013.89120000042]
V 303078102 [1284.4254000000656 4044.4182000011206]
V 281397894 [4442.197799995542 5901.525900000706]
V 281397895 [4499.8400999978185 5841.563699999824]
V 303078100 [1564.7447999976575 4233.20699999854]
V 281397892 [3991.07159999758 5782.089900000021]
V 1348536717 [-4590.660300005227 4786.875000001863]
V 303078101 [1582.2716999985278 4184.255999999121]
V 281397893 [4388.629199996591 5957.258999999613]
V 281397898 [4747.858500000089 5583.51090000011]
V 303078106 [1301.3528999984264 4173.233699997887]
V 303078107 [1201.4528999961913 4153.431300001219]
V 281397899 [4893.079799994826 5432.661900000647]
V 303078104 [1343.5550999976695 4058.7260999996215]
V 1346080987 [9778.089899998158 -552.1029000021517]
V 303078105 [1598.1668999940157 4118.333100000396]
V 281397897 [4615.302299994975 5721.428399998695]
V 1346080988 [9777.00209999457 -550.1826000008732]
V 281397902 [4952.176199994981 5477.039699999616]
V 303078110 [1309.022999998182 4373.311199998483]
V 303078111 [1160.9489999972284 4441.864799998701]
V 281397900 [5094.411599997431 5731.684800000861]
V 303078108 [1039.4372999966145 4339.98900000006]
V 281397901 [5068.7150999978185 5573.309999998659]
V 303078109 [1360.582499999553 4383.900599999353]
V 281397907 [4458.104099996388 5116.156500000507]
V 281397905 [4819.5644999966025 5377.172999998555]
V 1346080962 [9802.920599997044 -570.3291000016034]
V 281397910 [4391.959199998528 5103.158399999142]
V 281397915 [3997.209899995476 5065.451700000092]
V 1346080971 [9792.042599998415 -580.7520000003278]
V 281397912 [4129.555199995637 5071.456799998879]
V 1346080973 [9786.85889999941 -560.6498999986798]
V 1346080972 [9788.312999997288 -559.7397000007331]
V 281397918 [3976.408499997109 5018.321100000292]
V 1346080974 [9785.504699997604 -559.6287000011653]
V 1346080944 [9857.14409999922 -535.5416999999434]
V 1348567143 [-1194.104699999094 2244.9638999979943]
V 1346080958 [9824.08829999715 -555.5661000013351]
V 1346080956 [9831.458699997514 -551.7255000025034]
V 1104926836 [9357.477599993348 3667.7285999991]
V 1348567136 [347.9294999949634 4056.9833999983966]
V 1348615415 [231.09089999645948 3811.1516999993473]
V 1346080934 [9897.337200000882 -511.2771000005305]
V 1346080932 [9912.843899998814 -502.9743000008166]
V 1104926824 [7090.9463999941945 10045.844099998474]
V 1803036448 [4801.526999995112 6203.678999999538]
V 956465876 [3087.75359999761 3891.049499999732]
V 1346080942 [9865.458000000566 -529.8141000010073]
V 1346080940 [9874.72649999708 -525.0855000000447]
V 956465873 [3030.4553999975324 3851.355899998918]
V 1346080918 [9980.098799999803 -482.22840000130236]
V 1346080912 [9986.891999997199 -479.6864999998361]
V 1803036447 [4819.952999997884 6204.789000000805]
V 1346080922 [9955.778699997813 -489.2769000008702]
V 1803071113 [3646.4609999991953 4832.05199999921]
V 1346080908 [10016.540099997073 -470.65110000036657]
V 1348567127 [-3544.8960000015795 1201.952400000766]
V 1104926790 [9948.164099998772 4824.281999999657]
V 1803071111 [3792.647999998182 4857.248999999836]
V 1346080889 [10063.415399994701 -462.270600002259]
V 281087921 [4243.896299999207 3905.024399999529]
V 1346080883 [10068.698999993503 -508.50210000015795]
V 1346080880 [10063.626299995929 -518.2479000017047]
V 1346080887 [10064.603099994361 -473.259600000456]
V 1346080886 [10068.898799996823 -488.47770000062883]
V 1346080885 [10069.831199999899 -498.05700000189245]
V 1346080866 [9996.893099997193 -597.1467000003904]
V 1346080870 [10046.976300001144 -537.2178000025451]
V 281087919 [4224.160499997437 4035.5936999991536]
V 1346080868 [10030.082099996507 -558.5076000019908]
V 281087917 [4196.166299995035 4127.579400001094]
V 1104926864 [9043.07009999454 2576.4431999996305]
V 1346080862 [9965.768699996173 -642.801000000909]
V 1346080848 [9943.235699996352 -685.280700000003]
V 1346080850 [9949.973399996758 -670.3400999996811]
V 1346080842 [9963.548699997365 -750.2157000005245]
V 1346080845 [9946.654500000179 -719.13570000045]
V 1346080846 [9943.724099997431 -712.1871000006795]
V 1348567190 [-3888.274500001222 3992.037299999967]
V 1346080847 [9942.469799995422 -700.287899998948]
V 1766294382 [4105.135199993849 4174.321499999613]
V 1348615186 [-4120.064699999988 3982.4802000001073]
V 1348567194 [-3240.1566000059247 3425.959499999881]
V 1766294376 [4056.1730999983847 4189.350899999961]
V 1254030359 [8016.164699997753 7375.261800000444]
V 1254030358 [8143.581599995494 7507.662599999458]
V 1346080829 [9979.654799997807 -787.4895000010729]
V 1254030357 [7670.799299996346 7713.012599999085]
V 1254030355 [8151.98429999873 7521.914999999106]
V 1346080826 [9987.902099996805 -802.663200000301]
V 1348567264 [-1954.2215999998152 1324.1190000008792]
V 1254030353 [7772.031299997121 7397.672700000927]
V 1346080824 [9994.761899996549 -810.0668999999762]
V 1254030352 [8076.89279999584 7505.620200000703]
V 1254030367 [7745.0804999955 7319.695199999958]
V 1254030366 [7751.784899994731 7328.419800000265]
V 1254030365 [7777.847699999809 7325.145299999043]
V 1254030364 [8122.147499997169 7496.462700000033]
V 1254030363 [8092.37729999423 7505.620200000703]
V 1254030362 [8157.600899998099 7543.593299999833]
V 1254030361 [7764.8828999996185 7331.472300000489]
V 1254030360 [7758.922199994326 7347.767099998891]
V 1254030343 [7620.127799995244 7698.227399999276]
V 1346080812 [10024.765200000256 -835.696799999103]
V 1254030340 [7560.043499998748 8298.992699999362]
V 281397887 [4393.990499995649 6057.713999999687]
V 1254030341 [7615.010699994862 7680.811499999836]
V 1254030338 [7688.714699998498 7700.169900000095]
V 1254030339 [8061.297299999744 7494.220499999821]
V 1254030336 [7531.460999999195 8273.529300000519]
V 1346080809 [10040.083199996501 -822.543299999088]
V 1254030337 [7659.488399997354 7647.333899999037]
V 1254030350 [7755.347999997437 7954.748400000855]
V 1346080807 [10056.056099999696 -824.985300000757]
V 1254030351 [7681.322099998593 7655.45910000056]
V 1254030348 [7858.96649999544 8253.160800000653]
V 1254030349 [7693.9982999973 7673.019299998879]
V 1254030346 [7608.872400000691 8319.361199999228]
V 1254030347 [7682.476499997079 7706.519099999219]
V 1254030344 [7621.1600999981165 7663.162499997765]
V 1254030345 [7638.531599998474 7712.6796000003815]
V 1588248863 [2281.960199996829 2562.55709999986]
V 1346080798 [10141.392900001258 -799.599600000307]
V 1346080793 [10146.532199997455 -791.1858000010252]
V 1346080789 [10237.28579999879 -796.4804999995977]
V 1346080791 [10195.616399999708 -793.8053999990225]
V 1348536662 [-902.5410000048578 5066.372999999672]
V 1346080780 [10300.03409999609 -737.8613999988884]
V 281087940 [4351.066799998283 3152.222400000319]
V 1254030372 [7832.759399998933 7564.694399999455]
V 1588248846 [2228.369399998337 2599.2093000002205]
V 281087941 [4398.452700000256 3048.970199998468]
V 1254030373 [7850.064299996942 7622.1368999984115]
V 281087942 [4430.642699997872 2838.969299999997]
V 1254030374 [7887.537899997085 7514.788800001144]
V 1346080783 [10273.005599994212 -799.1445000004023]
V 1254030375 [7847.0561999976635 7393.598999999464]
V 281087943 [4389.7169999964535 2763.8444999996573]
V 1348615256 [-2347.64999999851 1605.925799999386]
V 1348567249 [-4221.918300002813 2016.2039999999106]
V 1346080776 [10320.224999997765 -682.4390999991447]
V 1254030368 [7723.202399995178 7415.998800000176]
V 1254030369 [7707.717899996787 7432.293600000441]
V 1346080778 [10303.142100002617 -704.6390999983996]
V 281087938 [4257.127500001341 3357.2949000000954]
V 1254030370 [7768.4571000002325 7578.946799999103]
V 281087939 [4283.290199995041 3263.7441000007093]
V 1254030371 [7750.5860999934375 7562.6520000007]
V 1104926924 [9243.147599998862 -289.66559999994934]
V 281087948 [3809.3867999985814 2354.4653999991715]
